n;s30;s50;s70
10;0.07193333779772122;0.06213334078590075;0.028433326709394652
12;0.24916666249434152;0.17003332807992896;0.1566666663469126
14;3.100400004768744;3.6207333323545754;0.05196666461415589
16;1.0877666742696117;8.523500000592321;0.21416665792154768
18;73.31876667255226;0.22053333426204821;0.5331666713270048
20;2393.7296666651187;0.3132666655195256;0.2507999985634039
22;121.23693333705887;0.2653666694338123;0.23906666319817305
24;575.0416333321482;0.35740000506242114;0.09283333201892674
26;9.512233334438255;0.5712666509983441;0.11560000712051988
28;1126.0876666638069;0.1589666644576937;0.20139999105595052
30;33.79253332968801;4.796733332720275;0.12339998890335362
